,Model,MSE,Size,Number,HiddenNodes,SE,r2,Performance,Thresh
0,Sedge,97.82412698791227,1,0,219,7.639616936674076,0.13355297256941934,1,105.46374392458634
1,Upland,99.5314447181882,1,1,219,11.016062040295528,0.11843093245696423,1,110.54750675848372
2,PPFD_Avg+Sedge,92.43410660523116,2,0,146,7.160857841874618,0.1812934153636735,0,99.59496444710578
3,PPFD_Avg+Upland,101.0508616696873,2,1,146,8.428499654808899,0.10497316552778224,0,109.4793613244962
4,AirTC_Avg+Sedge,92.76128658174092,2,2,146,8.313980491441567,0.17839551965215117,0,101.07526707318249
5,AirTC_Avg+Upland,100.60489126983285,2,3,146,8.591823955441564,0.10892321076890821,0,109.19671522527442
6,VPD+Sedge,98.60009043979792,2,4,146,8.652261808958919,0.12668011566813375,0,107.25235224875684
7,VPD+Upland,105.3406039042887,2,5,146,9.968699414535742,0.06697809700983803,0,115.30930331882445
8,wind_speed+Sedge,82.01698442365871,2,6,146,9.809968936723394,0.27355986155153367,0,91.8269533603821
9,wind_speed+Upland,93.17417808749444,2,7,146,9.399727469141514,0.17473846051115127,0,102.57390555663595
10,Temp+Sedge,95.35500353600534,2,8,146,8.680180036079758,0.15542247185488944,0,104.0351835720851
11,Temp+Upland,101.7624680168663,2,9,146,9.813238455262207,0.09867033182817586,0,111.5757064721285
12,VWC+Sedge,65.18607710349379,2,10,146,6.226932618762223,0.4226344310421306,1,71.413009722256
13,VWC+Upland,90.03005670760047,2,11,146,9.261784135384,0.20258654571641654,0,99.29184084298447
14,Sedge+Shrub,97.24637608894872,2,12,146,8.834109925861357,0.1386702229289769,0,106.08048601481008
15,Sedge+Grass,97.18049982735403,2,13,146,9.611613958977387,0.1392537015941534,0,106.79211378633141
16,Sedge+Out_of_Basin,89.82011685056246,2,14,146,8.567453291169105,0.20444602323664274,0,98.38757014173156
17,Sedge+Upland,92.42313343721672,2,15,146,8.456659562913128,0.18139060681429375,0,100.87979300012985
18,Shrub+Upland,98.58966720140396,2,16,146,9.175181166045142,0.12677243628678614,0,107.7648483674491
19,Grass+Upland,92.9174986593671,2,17,146,9.683838562957886,0.17701191936380223,0,102.60133722232499
20,Out_of_Basin+Upland,98.72780549071416,2,18,146,9.320902867083817,0.12554891900293685,0,108.04870835779798
21,PPFD_Avg+VWC+Sedge,61.27570372502778,3,0,109,7.027384646178284,0.4572693569468024,0,68.30308837120606
22,AirTC_Avg+VWC+Sedge,58.76807984702805,3,1,109,4.536475738264409,0.4794798618795506,0,63.304555585292455
23,VPD+VWC+Sedge,59.1562672566913,3,2,109,6.526630780896797,0.47604161164880476,0,65.6828980375881
24,wind_speed+VWC+Sedge,62.40013255519793,3,3,109,4.918190242201804,0.44731007545402146,0,67.31832279739973
25,Temp+VWC+Sedge,54.82685885369056,3,4,109,6.03884763032443,0.5143880110168921,1,60.86570648401499
26,VWC+Sedge+Shrub,59.96676255179232,3,5,109,5.423122837630795,0.4688628995988263,0,65.38988538942311
27,VWC+Sedge+Grass,60.084667528173334,3,6,109,5.659630161440896,0.46781859264255543,0,65.74429768961423
28,VWC+Sedge+Out_of_Basin,58.523055665503236,3,7,109,6.119262334034019,0.4816500879808989,0,64.64231799953725
29,VWC+Sedge+Upland,60.7624840518388,3,8,109,5.952133515104568,0.46181504188103584,0,66.71461756694336
30,PPFD_Avg+Temp+VWC+Sedge,55.0254485030168,4,0,87,6.4547715917144695,0.5126290644600937,0,61.480220094731266
31,AirTC_Avg+Temp+VWC+Sedge,52.19560703047753,4,1,87,6.281596942170649,0.5376935123368878,1,58.477203972648184
32,VPD+Temp+VWC+Sedge,52.81285826108641,4,2,87,5.585051581112778,0.5322263999750774,1,58.39790984219919
33,wind_speed+Temp+VWC+Sedge,52.07895738573035,4,3,87,5.626852515184835,0.5387267005804641,1,57.705809900915185
34,Temp+VWC+Sedge+Shrub,51.76432666206218,4,4,87,5.075390933623394,0.5415134451562098,1,56.83971759568558
35,Temp+VWC+Sedge+Grass,52.299567820819625,4,5,87,5.457830997860879,0.5367727117068717,1,57.75739881868051
36,Temp+VWC+Sedge+Out_of_Basin,51.76656669368202,4,6,87,7.616421185116804,0.5414936047671552,1,59.38298787879883
37,Temp+VWC+Sedge+Upland,53.02380549758414,4,7,87,5.978129639403442,0.530357999902049,1,59.00193513698758
38,PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge,50.143052091071446,5,0,73,6.162475843852973,0.5558733845283985,0,56.30552793492442
39,PPFD_Avg+VPD+Temp+VWC+Sedge,49.78221305209686,5,1,73,6.0219281521196875,0.5590694050023566,0,55.80414120421654
40,PPFD_Avg+wind_speed+Temp+VWC+Sedge,47.98253622616321,5,2,73,6.450858904097191,0.5750094873131202,0,54.4333951302604
41,PPFD_Avg+Temp+VWC+Sedge+Shrub,48.82828349194581,5,3,73,6.668577261471234,0.5675185418075659,0,55.496860753417046
42,PPFD_Avg+Temp+VWC+Sedge+Grass,49.3915656425399,5,4,73,6.805880036719292,0.5625294439232856,0,56.1974456792592
43,PPFD_Avg+Temp+VWC+Sedge+Out_of_Basin,52.567012581440956,5,5,73,6.716465822659923,0.5344039022426088,0,59.283478404100876
44,PPFD_Avg+Temp+VWC+Sedge+Upland,51.915171136818756,5,6,73,5.998083465149529,0.5401773867544485,0,57.91325460196828
45,AirTC_Avg+VPD+Temp+VWC+Sedge,50.97671590084649,5,7,73,5.5468550487228345,0.5484894645068552,0,56.523570949569326
46,AirTC_Avg+wind_speed+Temp+VWC+Sedge,48.2463840340896,5,8,73,7.242974474555269,0.5726725367477433,0,55.48935850864487
47,AirTC_Avg+Temp+VWC+Sedge+Shrub,48.97500316419516,5,9,73,5.911306274163693,0.5662190175715689,0,54.88630943835885
48,AirTC_Avg+Temp+VWC+Sedge+Grass,49.94996948908093,5,10,73,6.126023216977354,0.5575835541122673,0,56.07599270605828
49,AirTC_Avg+Temp+VWC+Sedge+Out_of_Basin,50.35113677631605,5,11,73,6.829826193287202,0.554030338620038,0,57.18096296960325
50,AirTC_Avg+Temp+VWC+Sedge+Upland,51.09992593524063,5,12,73,5.8119411316160265,0.5473981696357688,0,56.91186706685665
51,VPD+wind_speed+Temp+VWC+Sedge,48.82145851262531,5,13,73,6.40421872460244,0.5675789919564872,0,55.22567723722775
52,VPD+Temp+VWC+Sedge+Shrub,47.49341842306442,5,14,73,4.962144225062682,0.5793416973681171,1,52.4555626481271
53,VPD+Temp+VWC+Sedge+Grass,48.93714589908353,5,15,73,4.635921436783821,0.5665543266188623,0,53.57306733586735
54,VPD+Temp+VWC+Sedge+Out_of_Basin,49.727033446850214,5,16,73,6.862133180138059,0.5595581413336981,0,56.58916662698827
55,VPD+Temp+VWC+Sedge+Upland,49.72661403928785,5,17,73,6.0479506024428,0.5595618561068003,0,55.77456464173065
