,Model,MSE,Size,Number,HiddenNodes,SE,r2,Performance,Thresh
0,PPFD_Avg,1.6551212209682074,1,0,228,0.14377355874428246,0.8516287840650008,1,1.79889477971249
1,PPFD_Avg+VPD,1.5452201951474671,2,0,152,0.14413206178955548,0.861480720362445,1,1.6893522569370225
2,PPFD_Avg+wind_speed,1.5676901315359808,2,1,152,0.14846667522790674,0.8594664317763827,1,1.7161568067638875
3,PPFD_Avg+AirTC_Avg+VPD,1.4115324015133466,3,0,114,0.1806267443470342,0.8734649909076312,0,1.5921591458603808
4,PPFD_Avg+AirTC_Avg+wind_speed,1.4993286461777187,3,1,114,0.14052504537351257,0.8655946093244868,0,1.6398536915512312
5,PPFD_Avg+VPD+wind_speed,1.417039996911548,3,2,114,0.12498852618502224,0.8729712695923845,0,1.5420285230965702
6,PPFD_Avg+VPD+Temp,1.3909608359754808,3,3,114,0.13008732061612863,0.8753091024771477,0,1.5210481565916094
7,PPFD_Avg+VPD+VWC,1.259346959794035,3,4,114,0.15168681034777107,0.8871074593561298,1,1.411033770141806
8,PPFD_Avg+VPD+Sedge,1.5592533610675763,3,5,114,0.14567487602927692,0.860222735228422,0,1.7049282370968533
9,PPFD_Avg+VPD+Shrub,1.5155884100129176,3,6,114,0.1672347756441698,0.8641370236803169,0,1.6828231856570874
10,PPFD_Avg+VPD+Grass,1.5291185730950219,3,7,114,0.14279576034392616,0.8629241295896252,0,1.6719143334389481
11,PPFD_Avg+VPD+Out_of_Basin,1.4996128504076456,3,8,114,0.15999332129643287,0.8655691322013408,0,1.6596061717040784
12,PPFD_Avg+VPD+Upland,1.5300793937154107,3,9,114,0.1473661507326266,0.8628379980592354,0,1.6774455444480374
13,PPFD_Avg+wind_speed+Temp,1.5298000706828576,3,10,114,0.1318518079718782,0.8628630376137125,0,1.6616518786547358
14,PPFD_Avg+wind_speed+VWC,1.4700176036456891,3,11,114,0.16130762862024184,0.8682221600837331,0,1.6313252322659308
15,PPFD_Avg+wind_speed+Sedge,1.4607995181064624,3,12,114,0.1443094211409728,0.8690485035217369,0,1.6051089392474351
16,PPFD_Avg+wind_speed+Shrub,1.5045643252203222,3,13,114,0.1570203896259276,0.8651252636016751,0,1.66158471484625
17,PPFD_Avg+wind_speed+Grass,1.5432073768473658,3,14,114,0.1452714839689466,0.8616611568735953,0,1.6884788608163124
18,PPFD_Avg+wind_speed+Out_of_Basin,1.4619876135489807,3,15,114,0.14176690296305977,0.8689419982318403,0,1.6037545165120404
19,PPFD_Avg+wind_speed+Upland,1.4471376317751636,3,16,114,0.13920269887385014,0.8702732057739109,0,1.5863403306490138
20,PPFD_Avg+AirTC_Avg+VPD+VWC,1.199052630039189,4,0,91,0.1563675620674556,0.892512467102015,0,1.3554201921066447
21,PPFD_Avg+VPD+wind_speed+VWC,1.173814841690646,4,1,91,0.17545472141287533,0.8947748762218697,0,1.3492695631035212
22,PPFD_Avg+VPD+Temp+VWC,1.2142894090339698,4,2,91,0.18842566145609757,0.8911465856198926,0,1.4027150704900673
23,PPFD_Avg+VPD+VWC+Sedge,1.1948835108446274,4,3,91,0.11381658561665337,0.8928862024371909,0,1.3087000964612807
24,PPFD_Avg+VPD+VWC+Shrub,1.104051283259096,4,4,91,0.13059195574275517,0.9010287408097375,1,1.2346432390018514
25,PPFD_Avg+VPD+VWC+Grass,1.1938575543525858,4,5,91,0.14482161079708877,0.8929781729891312,0,1.3386791651496746
26,PPFD_Avg+VPD+VWC+Out_of_Basin,1.128583456251312,4,6,91,0.12549761576189955,0.8988295856721737,1,1.2540810720132116
27,PPFD_Avg+VPD+VWC+Upland,1.1463586674309068,4,7,91,0.13543483637011425,0.8972361496973301,0,1.281793503801021
28,PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub,1.0909212978368947,5,0,76,0.1460132545573805,0.9022057614881148,0,1.2369345523942752
29,PPFD_Avg+AirTC_Avg+VPD+VWC+Out_of_Basin,1.0640918362515484,5,1,76,0.15520799958611586,0.9046108541108597,0,1.2192998358376643
30,PPFD_Avg+VPD+wind_speed+VWC+Shrub,1.0654672120750697,5,2,76,0.12341541763353243,0.9044875603117601,0,1.1888826297086021
31,PPFD_Avg+VPD+wind_speed+VWC+Out_of_Basin,1.0222776743113826,5,3,76,0.140652074704475,0.90835923094983,1,1.1629297490158577
32,PPFD_Avg+VPD+Temp+VWC+Shrub,1.041845326645138,5,4,76,0.13265977618419503,0.9066051138900207,1,1.174505102829333
33,PPFD_Avg+VPD+Temp+VWC+Out_of_Basin,1.0931096215442526,5,5,76,0.14296633982691273,0.9020095920201587,0,1.2360759613711654
34,PPFD_Avg+VPD+VWC+Sedge+Shrub,1.0928854465051439,5,6,76,0.12933282717071778,0.9020296879035983,0,1.2222182736758616
35,PPFD_Avg+VPD+VWC+Sedge+Out_of_Basin,1.1504259595421522,5,7,76,0.12806878201043023,0.8968715425202466,0,1.2784947415525825
36,PPFD_Avg+VPD+VWC+Shrub+Grass,1.1005921359642195,5,8,76,0.11713321461413466,0.9013388316258886,0,1.217725350578354
37,PPFD_Avg+VPD+VWC+Shrub+Out_of_Basin,1.0549462308244686,5,9,76,0.13260789620882668,0.9054307001623071,0,1.1875541270332952
38,PPFD_Avg+VPD+VWC+Shrub+Upland,1.0617889783489363,5,10,76,0.13342817317851408,0.904817290849636,0,1.1952171515274503
