,Model,MSE,Size,Number,HiddenNodes,SE,r2,Performance,K,Thresh
1,PPFD_Avg,1.642941461,1,0,228,0.141766299,0.852720623,1,15,1.78470776
2,PPFD_Avg+AirTC_Avg,1.587578996,2,0,152,0.12145193,0.85768352,0,15,1.709030926
3,PPFD_Avg+VPD,1.491704304,2,1,152,0.142164743,0.866278084,1,15,1.633869047
4,PPFD_Avg+wind_speed,1.535592348,2,2,152,0.144670665,0.862343796,0,15,1.680263014
5,PPFD_Avg+Temp,1.610466586,2,3,152,0.137831053,0.855631791,0,15,1.748297639
6,PPFD_Avg+VWC,1.51976183,2,4,152,0.135086674,0.863762903,0,15,1.654848504
7,PPFD_Avg+Sedge,1.587489972,2,5,152,0.136276372,0.857691501,0,15,1.723766344
8,PPFD_Avg+Shrub,1.581781758,2,6,152,0.143325886,0.858203206,0,15,1.725107644
9,PPFD_Avg+Grass,1.638317641,2,7,152,0.154632056,0.853135119,-1,15,1.792949697
10,PPFD_Avg+Out_of_Basin,1.551213811,2,8,152,0.147211812,0.86094343,0,15,1.698425624
11,PPFD_Avg+AirTC_Avg+VPD,1.230927739,3,0,114,0.122286681,0.889655064,0,15,1.353214421
12,PPFD_Avg+VPD+wind_speed,1.318768446,3,1,114,0.146649462,0.881780697,-1,15,1.465417908
13,PPFD_Avg+VPD+Temp,1.270581452,3,2,114,0.12249701,0.886100358,-1,15,1.393078462
14,PPFD_Avg+VPD+VWC,1.119263059,3,3,114,0.12353244,0.899665101,1,15,1.2427955
15,PPFD_Avg+VPD+Sedge,1.486695661,3,4,114,0.150013046,0.866727077,-1,15,1.636708707
16,PPFD_Avg+VPD+Shrub,1.403821672,3,5,114,0.145670493,0.874156209,-1,15,1.549492165
17,PPFD_Avg+VPD+Grass,1.449233758,3,6,114,0.14779273,0.870085301,-1,15,1.597026488
18,PPFD_Avg+VPD+Out_of_Basin,1.377955447,3,7,114,0.15287396,0.876474954,-1,15,1.530829407
19,PPFD_Avg+AirTC_Avg+VPD+VWC,0.963744312,4,0,91,0.145867849,0.913606379,0,15,1.109612161
20,PPFD_Avg+VPD+wind_speed+VWC,0.975657786,4,1,91,0.116282236,0.912538411,0,15,1.091940022
21,PPFD_Avg+VPD+Temp+VWC,1.050045024,4,2,91,0.121190699,0.905870063,0,15,1.171235723
22,PPFD_Avg+VPD+VWC+Sedge,1.082616892,4,3,91,0.10238417,0.902950199,-1,15,1.185001061
23,PPFD_Avg+VPD+VWC+Shrub,0.962198971,4,4,91,0.104068465,0.913744909,1,15,1.066267436
24,PPFD_Avg+VPD+VWC+Grass,1.026619836,4,5,91,0.126250507,0.907969983,0,15,1.152870342
25,PPFD_Avg+VPD+VWC+Out_of_Basin,0.981518094,4,6,91,0.107217684,0.912013071,0,15,1.088735778
26,PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub,0.925045672,5,0,76,0.122654703,0.917075469,0,15,1.047700375
27,PPFD_Avg+VPD+wind_speed+VWC+Shrub,0.893063712,5,1,76,0.11301089,0.919942451,0,15,1.006074602
28,PPFD_Avg+VPD+Temp+VWC+Shrub,0.892240197,5,2,76,0.115361832,0.920016274,1,15,1.007602029
29,PPFD_Avg+VPD+VWC+Sedge+Shrub,0.98362223,5,3,76,0.107673319,0.911824449,0,15,1.091295549
30,PPFD_Avg+VPD+VWC+Shrub+Grass,0.974321767,5,4,76,0.106335311,0.912658177,0,15,1.080657078
31,PPFD_Avg+VPD+VWC+Shrub+Out_of_Basin,0.941801792,5,5,76,0.123769717,0.915573388,0,15,1.065571509
32,PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub,0.86676198,6,0,65,0.127518156,0.922300236,0,15,0.994280136
33,PPFD_Avg+VPD+wind_speed+Temp+VWC+Shrub,0.882612501,6,1,65,0.115741814,0.920879336,0,15,0.998354315
34,PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub,0.915018413,6,2,65,0.121765138,0.91797435,0,15,1.036783551
35,PPFD_Avg+VPD+Temp+VWC+Shrub+Grass,0.920287157,6,3,65,0.109196896,0.91750204,0,15,1.029484053
36,PPFD_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,0.866548883,6,4,65,0.141642296,0.922319338,1,15,1.00819118
37,PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,0.83976146,7,0,57,0.142433537,0.924720663,0,15,0.982194997
38,PPFD_Avg+VPD+wind_speed+Temp+VWC+Shrub+Out_of_Basin,0.809532293,7,1,57,0.151687299,0.927430517,1,15,0.961219591
39,PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub+Out_of_Basin,0.90798851,7,2,57,0.147250973,0.918604536,0,15,1.055239483
